pmid,contrast_id,contrast_label,contrast_type,contrast_category,method_category,arm_1,arm_2,analysis_method,analysis_scope,direction,n_subjects,disease_condition,title
23840533,c_EA_S1_vs_BL,EA: stimulation 1 vs. baseline,S1 minus BL (t-contrast),verum_gt_rest,whole_brain_activation,arm_EA,not_applicable,modified GLM with block-designed data; one sample t-test at group level,whole_brain,positive activation only,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_EA_S2_vs_BL,EA: stimulation 2 vs. baseline,S2 minus BL (t-contrast),deactivation,whole_brain_activation,arm_EA,not_applicable,modified GLM with block-designed data; one sample t-test at group level,whole_brain,negative activation only,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_TEAS_S1_vs_BL,TEAS: stimulation 1 vs. baseline,S1 minus BL (t-contrast),verum_gt_rest,whole_brain_activation,arm_TEAS,not_applicable,modified GLM with block-designed data; one sample t-test at group level,whole_brain,both positive and negative,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_TEAS_S2_vs_BL,TEAS: stimulation 2 vs. baseline,S2 minus BL (t-contrast),deactivation,whole_brain_activation,arm_TEAS,not_applicable,modified GLM with block-designed data; one sample t-test at group level,whole_brain,no positive activation; negative activation only,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_MA_DMN_rest1_vs_rest2,MA: DMN Rest 1 < Rest 2 (increased connectivity post-MA),paired t-test: rest 1 vs rest 2 within DMN mask,verum_post_gt_pre,network_ica,arm_MA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,Rest 1 < Rest 2 (increased connectivity following MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_MA_DMN_rest1_gt_rest2,MA: DMN Rest 1 > Rest 2 (decreased connectivity post-MA),paired t-test: rest 1 vs rest 2 within DMN mask,deactivation,network_ica,arm_MA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_EA_DMN_rest1_vs_rest2,EA: DMN Rest 1 < Rest 2 (increased connectivity post-EA),paired t-test: rest 1 vs rest 2 within DMN mask,verum_post_gt_pre,network_ica,arm_EA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,Rest 1 < Rest 2 (increased connectivity following EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_EA_DMN_rest1_gt_rest2,EA: DMN Rest 1 > Rest 2 (decreased connectivity post-EA),paired t-test: rest 1 vs rest 2 within DMN mask,deactivation,network_ica,arm_EA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_TEAS_DMN_rest1_gt_rest2,TEAS: DMN Rest 1 > Rest 2 (decreased connectivity post-TEAS),paired t-test: rest 1 vs rest 2 within DMN mask,deactivation,network_ica,arm_TEAS,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following TEAS),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_SC_DMN_sustained,sensory control: DMN,paired t-test: rest 1 vs rest 2 within DMN mask,sham_post_gt_pre,network_ica,arm_SC,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within DMN mask",ROI,no statistically significant region,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_TEAS_SMN_rest1_vs_rest2,TEAS: SMN Rest 1 < Rest 2 (increased connectivity post-TEAS),paired t-test: rest 1 vs rest 2 within SMN mask,verum_post_gt_pre,network_ica,arm_TEAS,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within SMN mask",ROI,Rest 1 < Rest 2 (increased connectivity following TEAS),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_MA_SMN_rest1_gt_rest2,MA: SMN Rest 1 > Rest 2 (decreased connectivity post-MA),paired t-test: rest 1 vs rest 2 within SMN mask,deactivation,network_ica,arm_MA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within SMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_EA_SMN_rest1_gt_rest2,EA: SMN Rest 1 > Rest 2 (decreased connectivity post-EA),paired t-test: rest 1 vs rest 2 within SMN mask,deactivation,network_ica,arm_EA,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within SMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,c_SC_SMN_rest1_gt_rest2,sensory control: SMN Rest 1 > Rest 2 (decreased connectivity post-sensory control),paired t-test: rest 1 vs rest 2 within SMN mask,deactivation,network_ica,arm_SC,not_applicable,"ICA (Informax algorithm, 40 components); paired t-test within SMN mask",ROI,Rest 1 > Rest 2 (decreased connectivity following sensory control),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C1,Regions of activation for group analysis of sensory control in different stimulation periods - Stimulation 1 vs. baseline,activation,sham_gt_rest,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,positive activation (stimulation > baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C2,Regions of activation for group analysis of sensory control in different stimulation periods - Stimulation 1 vs. baseline negative,activation,deactivation,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,negative activation (stimulation < baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C3,Regions of activation for group analysis of sensory control in different stimulation periods - Stimulation 2 vs. baseline positive,activation,sham_gt_rest,whole_brain_activation,stimulation 2,baseline,activation,whole_brain,positive activation (stimulation > baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C4,Regions of activation for group analysis of sensory control in different stimulation periods - Stimulation 2 vs. baseline negative,activation,deactivation,whole_brain_activation,stimulation 2,baseline,activation,whole_brain,negative activation (stimulation < baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C5,Regions of activation for group analysis of MA in different stimulation periods - Stimulation 1 vs. baseline positive,activation,verum_gt_rest,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,positive activation (stimulation > baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C6,Regions of activation for group analysis of EA in different stimulation periods - Stimulation 1 vs. baseline positive,activation,verum_gt_rest,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,positive activation (stimulation > baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C7,Regions of activation for group analysis of EA in different stimulation periods - Stimulation 2 vs. baseline negative,activation,deactivation,whole_brain_activation,stimulation 2,baseline,activation,whole_brain,negative activation (stimulation < baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C8,Regions of activation for group analysis of TEAS in different stimulation periods - Stimulation 1 vs. baseline positive,activation,verum_gt_rest,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,positive activation (stimulation > baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C9,Regions of activation for group analysis of TEAS in different stimulation periods - Stimulation 1 vs. baseline negative,activation,deactivation,whole_brain_activation,stimulation 1,baseline,activation,whole_brain,negative activation (stimulation < baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C10,Regions of activation for group analysis of TEAS in different stimulation periods - Stimulation 2 vs. baseline negative,activation,deactivation,whole_brain_activation,stimulation 2,baseline,activation,whole_brain,negative activation (stimulation < baseline),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C11,Brain regions in the DMN modulated by different modalities of acupuncture - MA Rest1 < Rest2 (increased connectivity),FC,verum_post_gt_pre,network_ica,rest 2 (post-MA),rest 1 (pre-MA),FC,whole_brain,Rest 1 < Rest 2 (increased connectivity after MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C12,Brain regions in the DMN modulated by different modalities of acupuncture - MA Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-MA),rest 2 (post-MA),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C13,Brain regions in the DMN modulated by different modalities of acupuncture - EA Rest1 < Rest2 (increased connectivity),FC,verum_post_gt_pre,network_ica,rest 2 (post-EA),rest 1 (pre-EA),FC,whole_brain,Rest 1 < Rest 2 (increased connectivity after EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C14,Brain regions in the DMN modulated by different modalities of acupuncture - EA Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-EA),rest 2 (post-EA),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C15,Brain regions in the DMN modulated by different modalities of acupuncture - TEAS Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-TEAS),rest 2 (post-TEAS),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after TEAS),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C16,Brain regions in the SMN modulated by different modalities of acupuncture - Sensory control Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-sensory control),rest 2 (post-sensory control),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after sensory control),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C17,Brain regions in the SMN modulated by different modalities of acupuncture - MA Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-MA),rest 2 (post-MA),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after MA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C18,Brain regions in the SMN modulated by different modalities of acupuncture - EA Rest1 > Rest2 (decreased connectivity),FC,deactivation,network_ica,rest 1 (pre-EA),rest 2 (post-EA),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after EA),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C19,Brain regions in the SMN modulated by different modalities of acupuncture - TEAS Rest1 < Rest2 (increased connectivity),FC,verum_post_gt_pre,network_ica,rest 2 (post-TEAS),rest 1 (pre-TEAS),FC,whole_brain,Rest 1 < Rest 2 (increased connectivity after TEAS),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,23826116_C20,Brain regions in the SMN modulated by different modalities of acupuncture - Sensory control Rest1 > Rest2 premotor,FC,deactivation,network_ica,rest 1 (pre-sensory control),rest 2 (post-sensory control),FC,whole_brain,Rest 1 > Rest 2 (decreased connectivity after sensory control),18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,41626073_SR_C1,stimulation 1 vs. baseline (sensory control),activation,sham_gt_rest,whole_brain_activation,,,activation,,activation,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,41626073_SR_C2,stimulation 1 vs. baseline (sensory control),activation,deactivation,whole_brain_activation,,,activation,,deactivation,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,41626073_SR_C3,stimulation 2 vs. baseline (sensory control),activation,sham_gt_rest,whole_brain_activation,,,activation,,activation,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23840533,41626073_SR_C4,stimulation 2 vs. baseline (sensory control),activation,deactivation,whole_brain_activation,,,activation,,deactivation,18,Healthy volunteers,Manipulation of and Sustained Effects on the Human Brain Induced by Different Modalities of Acupuncture: An fMRI Study
23935686,nr_hui_LI4_deactivation,fMRI signal decrease during acupuncture Deqi at LI4 vs pain/tactile control,deactivation during Deqi vs pain or superficial tactile control,deactivation,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI signal change analysis,whole_brain,decrease (deactivation),,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_wu_ST36_LI4_deactivation,"fMRI deactivation during Deqi at analgesic acupoints (ST36, LI4)",deactivation during Deqi at analgesic acupoints,deactivation,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,deactivation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_hui_ST36_pureDeqi_deactivation,Pure Deqi subjects at ST36 - concerted attenuation of signal intensity in limbic and paralimbic structures,deactivation during pure Deqi at ST36,deactivation,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,attenuation (deactivation); generally 1%,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_hui_ST36_sharpPain_activation,Subjects with sharp pain together with Deqi at ST36 - signal increase in cerebrocerebellar and limbic systems,activation during sharp pain with Deqi at ST36,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,increase (activation),,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_hui_pain_noDeqi_activation,Brain activation in subjects experiencing pain with nil Deqi or sharp pain with Deqi during acupuncture,activation during pain with nil Deqi or sharp pain with Deqi,other,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,activation dominated signal change,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_superficial_tactile_activation,somatosensory cortex activation during superficial tactile stimulation control,activation during superficial tactile control,sham_gt_rest,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_hsieh_LI4_PET_activation,Activation of hypothalamus characterizing acupuncture Deqi at LI4 (PET study),activation at LI4 during Deqi (PET),verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,positron emission tomography (PET),whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_chen_TE5_SPECT_activation,Deqi sensation at TE5 - increased glycometabolism in multiple brain areas (SPECT/PET),activation during Deqi at TE5,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,single-photon emission computed tomography (SPECT),whole_brain,activation (increased glycometabolism),,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_yoo_PC6_activation,Acupuncture manipulation on PC6 inducing Deqi vs sham acupuncture and tactile stimulation - selective activation,activation during Deqi at PC6 vs sham/tactile,verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation (selective),,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_classic_acup_deqi_activation,Classic acupuncture with Deqi - activation of brain areas common with acute and chronic pain,activation during Deqi at various acupoints (multiple studies),verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI (multiple studies cited),whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_wu_deqi_descending_antinociception,Acupuncture with Deqi achieved - activation of descending antinociceptive pathway structures,activation during Deqi,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_LI11_deqi_activation,"Deqi at Yuchi (LI11) - activation of SI, SII and thalamus",activation during Deqi at LI11,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_GB34_sensorimotor_activation,Deqi at GB34 - activation of sensorimotor cortices,activation during Deqi at GB34 for motor function,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI (3T),whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_LI4_LI11_somatosensory_stroke_activation,Acupuncture at LI4 with LI11 - somatosensory cortex activation in stable somatosensory stroke patients,activation during acupuncture in stroke patients,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_zhang_ST36SP6_activation,ST36/SP6 stimulation - activation of orbital frontal cortex and dorsal thalamus,activation during ST36/SP6 stimulation,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_zhang_ST36SP6_deactivation,ST36/SP6 stimulation - deactivation of hippocampus,deactivation during ST36/SP6 stimulation,deactivation,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,deactivation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_zhang_GB34BL57_activation,GB34/BL57 stimulation - activation of dorsal thalamus; inhibition of primary motor area and premotor cortex,activation/inhibition during GB34/BL57 stimulation,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,activation and inhibition,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_gareus_GB37_visual_inactivated,Deqi at GB37 - inactivated BOLD response to visual cortex; activation clusters elsewhere,mixed activation/deactivation during Deqi at GB37,verum_gt_rest,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,inactivated response to visual cortex; activated clusters elsewhere,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_ea_limbic_increase,EA with 2 Hz or 100 Hz with Deqi - increased fMRI signal of limbic system similar to manual acupuncture,activation during EA at 2 Hz or 100 Hz vs manual acupuncture,other,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,increase,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_long_duration_deqi_deactivation,Long duration (180 sec) manual acupuncture Deqi - enhanced deactivation mode and expanded extent vs short-term stimulation,deactivation enhancement with longer Deqi duration,deactivation,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,enhanced deactivation with longer duration,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_deep_superficial_deqi_similar,Acupuncture Deqi induced cerebral response with marked similarities of BOLD regardless of deep or superficial needling method,deep vs superficial needling Deqi comparison,other,whole_brain_activation,not_applicable,not_applicable,fMRI,whole_brain,similar activation and deactivation for both deep and superficial needling,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_hypothalamus_addicts_CTS,Activation of hypothalamus characterizing response to acupuncture stimulation in heroin addicts and carpal tunnel syndrome,activation during Deqi in patient populations vs healthy subjects,group_comparison,whole_brain_activation,not_applicable,not_applicable,fMRI / neuroimaging,whole_brain,activation; stronger psychophysical feeling in patients vs healthy subjects,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_fang_LV3_LV2_ST44_deactivation,"Similar salient deactivation response pattern for Deqi produced by Taichong (LV3), Xingjian (LV2), and Neiting (ST44)",deactivation during Deqi at LV3/LV2/ST44,deactivation,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,deactivation (similar to Hui's points),,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
23935686,nr_vpfc_deactivation_anticipatory,Attention and anticipatory anxiety modulated brain response - deactivation of ventromedial prefrontal cortex with Deqi,deactivation during Deqi (attention/anticipatory component),deactivation,whole_brain_activation,not_applicable,not_applicable,BOLD fMRI,whole_brain,deactivation,,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke",Visualized Characterization for Cerebral Response of Acupuncture Deqi: Paradox Underway
24062782,contrast_acup_mean,Mean effect of overall brain activity during acupuncture stimulation (ACUP vs REST),"acupuncture stimulation versus rest (needle in place, no manipulation)",verum_gt_rest,whole_brain_activation,arm_acup,not_applicable,Multiple regression analysis; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_acup_pressure_covariate,Brain activity associated with pressure sensation during acupuncture stimulation,ANCOVA with pressure intensity scores as covariate; percent MR signal change to acupuncture,correlation_deqi,correlation_brain_behavior,arm_acup,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_acup_heaviness_covariate,Brain activity associated with heaviness sensation during acupuncture stimulation,ANCOVA with heaviness intensity scores as covariate; percent MR signal change to acupuncture,correlation_deqi,correlation_brain_behavior,arm_acup,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_acup_fullness_covariate,Brain activity associated with fullness sensation during acupuncture stimulation,ANCOVA with fullness intensity scores as covariate; percent MR signal change to acupuncture,correlation_deqi,correlation_brain_behavior,arm_acup,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_acup_numbness_covariate,Brain activity associated with numbness sensation during acupuncture stimulation,ANCOVA with numbness intensity scores as covariate; percent MR signal change to acupuncture,correlation_deqi,correlation_brain_behavior,arm_acup,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_acup_tingling_covariate,Brain activity associated with tingling sensation during acupuncture stimulation,ANCOVA with tingling intensity scores as covariate; percent MR signal change to acupuncture,correlation_deqi,correlation_brain_behavior,arm_acup,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,both positive and negative BOLD responses,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_tactile_pressure_covariate,Brain activity associated with pressure sensation during tactile stimulation,ANCOVA with pressure intensity scores as covariate; percent MR signal change to tactile stimulation,correlation_deqi,correlation_brain_behavior,arm_tactile,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,positive BOLD responses predominantly,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
24062782,contrast_tactile_heaviness_fullness_covariate,Brain activity associated with heaviness/fullness sensation during tactile stimulation,ANCOVA with heaviness/fullness intensity scores as covariate; percent MR signal change to tactile stimulation,correlation_deqi,correlation_brain_behavior,arm_tactile,not_applicable,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,whole_brain,negative BOLD responses predominantly,59,healthy subjects,Neural Encoding of Acupuncture Needling Sensations: Evidence from a fMRI Study
