pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,timepoint_raw,timepoint_class,reporting_format,value_exact,parse_method,parsed_format,mean,sd,se,median,iqr_low,iqr_high,ci_low,ci_high,count,pct,pre_mean,pre_sd,post_mean,post_sd,n_analyzed,higher_is_better,scale_min,scale_max,instrument_matched,disease_condition,healthy_volunteers,within_group_change,between_group_difference,effect_size_reported,p_value
24915066,arm_A,verum_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,1–4 weeks after randomization,post,mean ± SD,47.25 (9.55),regex,mean_sd,47.25,9.55,,,,,,,,,,,,,40.0,False,,,True,migraine without aura,False,not_reported,P = 0.2515,not_reported,0.2515
24915066,arm_B,sham_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,1–4 weeks after randomization,post,mean ± SD,49.69 (9.35),regex,mean_sd,49.69,9.35,,,,,,,,,,,,,40.0,False,,,True,migraine without aura,False,not_reported,P = 0.2515,not_reported,0.2515
24915066,arm_A,verum_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,5–8 weeks after randomization,post,mean ± SD,47.86 (8.42),regex,mean_sd,47.86,8.42,,,,,,,,,,,,,40.0,False,,,True,migraine without aura,False,significant decrease from baseline (P < 0.05),P = 0.1395; no significant difference between groups (P > 0.05); PG = 0.2232,not_reported,0.1395
24915066,arm_B,sham_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,5–8 weeks after randomization,post,mean ± SD,50.39 (6.67),regex,mean_sd,50.39,6.67,,,,,,,,,,,,,40.0,False,,,True,migraine without aura,False,significant decrease from baseline (P < 0.05),P = 0.1395; no significant difference between groups (P > 0.05); PG = 0.2232,not_reported,0.1395
24915066,not_applicable,,Difference from baseline in VAS,pain,Visual Analogue Scale (VAS) score 0–10,end of treatment (week 8),post,mean (SE),Active group: 2.096 (0.25) 95% CI (1.61–2.58); Inactive group: 1.110 (0.25) 95% CI (0.62–1.60),unparseable,,,,,,,,,,,,,,,,40.0,False,0.0,10.0,True,migraine without aura,False,not_reported,P = 0.006 based on analysis of covariance with baseline VAS as a covariate,not_reported,P = 0.006
24968124,arm_mci,other,MMSE score,cognition,Mini-Mental State Examination (MMSE),baseline (subject characteristics),baseline,mean ± SD,26.4±0.9,regex,mean_sd,26.4,0.9,,,,,,,,,,,,,12.0,True,0.0,30.0,True,mild cognitive impairment (MCI); specifically amnestic MCI,True,not_reported,p<0.0001 (two sample two tailed t test),not_reported,p<0.0001
24968124,arm_hc,healthy_control,MMSE score,cognition,Mini-Mental State Examination (MMSE),baseline (subject characteristics),baseline,mean ± SD,29.8±0.4,regex,mean_sd,29.8,0.4,,,,,,,,,,,,,12.0,True,0.0,30.0,True,mild cognitive impairment (MCI); specifically amnestic MCI,True,not_reported,p<0.0001 (two sample two tailed t test),not_reported,p<0.0001
24968124,arm_mci,other,CDR,cognition,Clinical Dementia Rating (CDR),baseline (subject characteristics),baseline,other,0.5,unparseable,,,,,,,,,,,,,,,,12.0,False,0.0,3.0,True,mild cognitive impairment (MCI); specifically amnestic MCI,True,not_reported,not_reported,not_reported,not_reported
24968124,arm_hc,healthy_control,CDR,cognition,Clinical Dementia Rating (CDR),baseline (subject characteristics),baseline,other,0,unparseable,,,,,,,,,,,,,,,,12.0,False,0.0,3.0,True,mild cognitive impairment (MCI); specifically amnestic MCI,True,not_reported,not_reported,not_reported,not_reported
25220656,arm_PD,other,Unified Parkinson's Disease Rating Scale (UPDRS) motor score,symptom_severity,Unified Parkinson's Disease Rating Scale (UPDRS),after the fMRI experiment,other,mean ± SD,7.8 (SD = 3.9),unparseable,,,,,,,,,,,,,,,,12.0,False,,,True,"Parkinson's disease (idiopathic, clinically definite)",True,not_reported,not_reported,not_reported,not_reported
25220656,arm_PD,other,Hoehn and Yahr stage,symptom_severity,Hoehn and Yahr stage,baseline,baseline,narrative,"All had Hoehn and Yahr stage 1, 2, or 2.5",unparseable,,,,,,,,,,,,,,,,12.0,False,,,True,"Parkinson's disease (idiopathic, clinically definite)",True,not_reported,not_reported,not_reported,not_reported
25220656,arm_PD,other,Edinburgh Handedness Inventory,other,Edinburgh Handedness Inventory,baseline,baseline,mean ± SD,99.6% (SD = 1.4),unparseable,,,,,,,,,,,,,,,,12.0,,,,False,"Parkinson's disease (idiopathic, clinically definite)",True,not_reported,not_reported,not_reported,not_reported
25220656,arm_HC,healthy_control,Edinburgh Handedness Inventory,other,Edinburgh Handedness Inventory,baseline,baseline,mean ± SD,100% (SD = 0),unparseable,,,,,,,,,,,,,,,,12.0,,,,False,"Parkinson's disease (idiopathic, clinically definite)",True,not_reported,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Tissue displacement at Zusanli before de qi,physiological,"In vivo ultrasonic imaging (System FiVe, GE-Vingmed, 7.5 MHz); RF data, 2 mm window, 60% overlap; 13.2 frames/second",before de qi,other,mean ± SD,0.105 ± 0.027 mm,regex,mean_sd,0.105,0.027,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,not_reported,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Tissue displacement at Zusanli during de qi,physiological,"In vivo ultrasonic imaging (System FiVe, GE-Vingmed, 7.5 MHz); RF data, 2 mm window, 60% overlap; 13.2 frames/second",during de qi,during,mean ± SD,0.167 ± 0.047 mm,regex,mean_sd,0.167,0.047,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,increased in amplitude by up to 0.167 ± 0.047 mm during de qi stage compared with 0.105 ± 0.027 mm before de qi,not_reported,not_reported,P < 0.01
25228908,arm_verum,verum_acupuncture,Blood flow (blood perfusion) at Hegu (LI.4) acupoint at baseline,physiological,"PeriScan PIM II LDPI (Perimed Company, Sweden); scanning laser wavelength 670 nm; maximum output power 1 mW; NR scanning pattern; pixel size 0.5 × 0.5 mm²; LDPI 2.5 imaging software",Base blood flow (before acupuncture needle stimulation),baseline,narrative,basal blood flow of the healthy subjects was low,unparseable,,,,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,not_reported,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Blood flow (blood perfusion) at Hegu (LI.4) acupoint before de qi (deep-punctured without de qi),physiological,PeriScan PIM II LDPI,"Pre-de qi (needle inserted, de qi not yet achieved)",other,narrative,blood flow increased transiently when the acupuncture needle was inserted into the acupoint Hegu and then reverted to baseline before de qi,unparseable,,,,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,significantly increased when deep-punctured but without De qi (P < 0.05),not_reported,not_reported,P < 0.05
25228908,arm_verum,verum_acupuncture,Blood flow (blood perfusion) at Hegu (LI.4) acupoint during de qi (D1–D6),physiological,PeriScan PIM II LDPI,D1–D6 (maintained at relatively high level for up to 6 min after de qi),other,narrative,skin blood flow increased significantly and was maintained at a relatively high level for up to 6 min (D1–D6); increment of blood perfusion was higher (about 10%) around Hegu after de qi than that measured before de qi,unparseable,,,,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,skin blood flows at the acupoints were more evident than those before de qi (P < 0.01) and these changes were time-dependent,not_reported,not_reported,P < 0.01
25228908,arm_verum,verum_acupuncture,Blood flow (blood perfusion) at Zusanli (ST.36) acupoint during de qi (D1–D6),physiological,PeriScan PIM II LDPI,D1–D6,other,narrative,Similar results were also found in Zusanli acupoint,unparseable,,,,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,similar to Hegu; skin blood flows more evident after de qi than before de qi,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Deep resistance (myoelectricity amplitude) at Hegu acupoint before de qi,physiological,"Viking Quest portable EMG/evoked potential systems (NICOLET, USA)",before de qi,other,mean ± SD,34.85 ± 12.43 uV,regex,mean_sd,34.85,12.43,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,not_reported,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Deep resistance (myoelectricity amplitude) at Hegu acupoint after de qi,physiological,"Viking Quest portable EMG/evoked potential systems (NICOLET, USA)",after de qi,other,mean ± SD,51.98 ± 11.84 uV,regex,mean_sd,51.98,11.84,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,increased from 34.85 ± 12.43 uV before de qi to 51.98 ± 11.84 uV after de qi,not_reported,not_reported,P < 0.01
25228908,arm_verum,verum_acupuncture,Deep resistance (myoelectricity amplitude) at Zusanli acupoint before de qi,physiological,"Viking Quest portable EMG/evoked potential systems (NICOLET, USA)",before de qi,other,mean ± SD,39.38 ± 9.07 uV,regex,mean_sd,39.38,9.07,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,not_reported,not_reported,not_reported,not_reported
25228908,arm_verum,verum_acupuncture,Deep resistance (myoelectricity amplitude) at Zusanli acupoint after de qi,physiological,"Viking Quest portable EMG/evoked potential systems (NICOLET, USA)",after de qi,other,mean ± SD,55.18 ± 6.19 uV,regex,mean_sd,55.18,6.19,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,increased from 39.38 ± 9.07 uV before de qi to 55.18 ± 6.19 uV after de qi,not_reported,not_reported,P < 0.01
25228908,arm_verum,verum_acupuncture,Change of electroencephalogram before and after de qi in different brain regions,physiological,"Biopac Systems EEG; 12 channels; α (8–13 Hz), β (13–30 Hz), θ (4–8 Hz), δ (0.5–4 Hz) bands; 10–20 electrode placement method",before and after de qi,other,narrative,"in different brain regions, the change of electroencephalogram before and after de qi was not evident",unparseable,,,,,,,,,,,,,,,,30.0,,,,False,Healthy volunteers (no disease condition),True,not evident,not_reported,not_reported,not_reported
25452777,arm_stroke,other,FM-UL (lower limb section of the Fugl-Meyer Scale),function,lower limb section of the Fugl-Meyer Scale,at enrollment (descriptive/baseline),baseline,count,Patient 1: 16; Patient 2: 12; Patient 3: 14; Patient 4: 13; Patient 5: 15; Patient 6: 11; Patient 7: 10; Patient 8: 12; Patient 9: 9; Patient 10: 15,unparseable,,,,,,,,,,,,,,,,10.0,True,,,True,subcortical ischemic stroke (patient group); healthy volunteers (control group),True,not_reported,not_reported,not_reported,not_reported
25916336,arm_MWoA,verum_acupuncture,VAS scores,pain,visual analogue scale (VAS),before treatment,baseline,mean ± SD,5.5 ± 1.3,regex,mean_sd,5.5,1.3,,,,,,,,,,,,,12.0,False,0.0,10.0,True,Migraine without aura (MWoA),True,not_reported,not_reported,not_reported,not_reported
25916336,arm_MWoA,verum_acupuncture,VAS scores,pain,visual analogue scale (VAS),after treatment,post,mean ± SD,2.7 ± 0.7,regex,mean_sd,2.7,0.7,,,,,,,,,,,,,12.0,False,0.0,10.0,True,Migraine without aura (MWoA),True,significant decrease (P < 0.05) after 4 weeks acupuncture treatment,not_reported,not_reported,P < 0.05
25916336,arm_MWoA,verum_acupuncture,Frequency of migraine attacks (times/month),symptom_severity,not_reported,before treatment,baseline,mean ± SD,4.5 ± 1.1,regex,mean_sd,4.5,1.1,,,,,,,,,,,,,12.0,,,,False,Migraine without aura (MWoA),True,not_reported,not_reported,not_reported,not_reported
25916336,arm_MWoA,verum_acupuncture,Frequency of migraine attacks (times/month),symptom_severity,not_reported,after treatment,post,mean ± SD,1.9 ± 0.7,regex,mean_sd,1.9,0.7,,,,,,,,,,,,,12.0,,,,False,Migraine without aura (MWoA),True,significant decrease (P < 0.05) after 4 weeks acupuncture treatment,not_reported,not_reported,P < 0.05
25916336,arm_MWoA,verum_acupuncture,Duration of migraine attacks (days/month),symptom_severity,not_reported,before treatment,baseline,mean ± SD,6.1 ± 3.2,regex,mean_sd,6.1,3.2,,,,,,,,,,,,,12.0,,,,False,Migraine without aura (MWoA),True,not_reported,not_reported,not_reported,not_reported
25916336,arm_MWoA,verum_acupuncture,Duration of migraine attacks (days/month),symptom_severity,not_reported,after treatment,post,mean ± SD,4.3 ± 1.8,regex,mean_sd,4.3,1.8,,,,,,,,,,,,,12.0,,,,False,Migraine without aura (MWoA),True,significant decrease (P < 0.05) after 4 weeks acupuncture treatment,not_reported,not_reported,P < 0.05
25916336,arm_MWoA,verum_acupuncture,Correlation between decreased FC Z-values and VAS scores before treatment,pain,visual analogue scale (VAS),before treatment,baseline,other,"R = -0.6289, P = 0.0494",unparseable,,,,,,,,,,,,,,,,12.0,False,0.0,10.0,True,Migraine without aura (MWoA),True,not_reported,not_reported,R = -0.6289,0.0494
25916336,arm_MWoA,verum_acupuncture,Correlation between increased FC Z-values and decrease of VAS scores after treatment,pain,visual analogue scale (VAS),after treatment,post,other,"R = -0.6633, P = 0.0370",unparseable,,,,,,,,,,,,,,,,12.0,False,0.0,10.0,True,Migraine without aura (MWoA),True,not_reported,not_reported,R = -0.6633,0.0370
26161117,arm_ALBP,other,intensity of LBP before ACUP scan,pain,"10-point visual analog scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)",pretreatment (before ACUP functional scan),other,mean ± SD,5.40 (S.D. = 0.98),unparseable,,,,,,,,,,,,,,,,28.0,False,,,True,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection,True,not_reported,not reported for pretreatment,not_reported,not_reported
26161117,arm_ALBP,other,intensity of LBP after ACUP scan,pain,"10-point visual analog scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)",posttreatment (after ACUP functional scan),other,mean ± SD,3.47 (S.D. = 0.75),unparseable,,,,,,,,,,,,,,,,28.0,False,,,True,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection,True,not_reported,significant difference between ACUP and SHAM posttreatment pain (P = 0.043),not_reported,P = 0.043
26161117,arm_ALBP,other,intensity of LBP before SHAM scan,pain,"10-point visual analog scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)",pretreatment (before SHAM functional scan),other,mean ± SD,5.60 (S.D. = 1.24),unparseable,,,,,,,,,,,,,,,,28.0,False,,,True,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection,True,not_reported,not reported for pretreatment,not_reported,not_reported
26161117,arm_ALBP,other,intensity of LBP after SHAM scan,pain,"10-point visual analog scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)",posttreatment (after SHAM functional scan),other,mean ± SD,4.51 (S.D. = 1.06),unparseable,,,,,,,,,,,,,,,,28.0,False,,,True,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection,True,not_reported,significant difference between ACUP and SHAM posttreatment pain (P = 0.043),not_reported,P = 0.043
26211895,not_applicable,,Point of subjective equality (PSE) in spatial two-point discrimination task,sensory,Spatial two-point discrimination task; psychometric function fit (Psyphy R package),prior to fMRI sessions,other,mean ± SD,32.93 ± 5.79 mm (global PSE: 32.62),regex,mean_sd,32.93,5.79,,,,,,,,,,,,,14.0,,,,False,healthy volunteers,True,not_reported,not_reported,not_reported,not_reported
26211895,arm_genuine,verum_acupuncture,Rate of correct acupoint location estimation in 2AFC task,sensory,two-alternative forced choice (2AFC) task,session 1 (genuine acupuncture),other,mean ± SD,0.986 ± 0.031,regex,mean_sd,0.986,0.031,,,,,,,,,,,,,14.0,,,,False,healthy volunteers,True,not_reported,not_reported,not_reported,not_reported
26211895,arm_pseudo,sham_acupuncture,Response frequency at each acupoint (PC6 vs HT7) in pseudo-stimulation session,sensory,two-alternative forced choice (2AFC) task,session 2 (pseudo-stimulation),other,mean ± SD,PC6: 9.2 ± 2.9 vs. HT7: 8.8 ± 3.3,unparseable,,,,,,,,,,,,,,,,12.0,,,,False,healthy volunteers,True,not_reported,"t = −0.3661, p = 0.7202",not_reported,p = 0.7202
26839078,VA1,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.45 (4.54; 6.37),regex,mean_ci,5.45,1.5483222873342812,,,,,4.54,6.37,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA1,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),3.18 (2.24; 4.12),regex,mean_ci,3.18,1.590626174966365,,,,,2.24,4.12,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.003
26839078,VA2,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.32 (4.68; 5.96),regex,mean_ci,5.32,1.0829795233813553,,,,,4.68,5.96,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA2,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),3.73 (2.82; 4.63),regex,mean_ci,3.73,1.5314007322814476,,,,,2.82,4.63,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.002
26839078,VA3,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.69 (5.12; 6.26),regex,mean_ci,5.69,1.0485531770482006,,,,,5.12,6.26,,,,,,,13.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA3,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),3.15 (2.31; 3.99),regex,mean_ci,3.15,1.5452362609131385,,,,,2.31,3.99,,,,,,,13.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.000
26839078,SA,sham_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.18 (4.19; 6.17),regex,mean_ci,5.18,1.6752339502305331,,,,,4.19,6.17,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,SA,sham_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),4.04 (3.09; 5.00),regex,mean_ci,4.04,1.616008507545616,,,,,3.09,5.0,,,,,,,11.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.158
26839078,WT,waitlist,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.66 (5.16; 6.15),regex,mean_ci,5.66,1.0102040816326534,,,,,5.16,6.15,,,,,,,16.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,WT,waitlist,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),5.72 (4.84; 6.59),regex,mean_ci,5.72,1.7857142857142858,,,,,4.84,6.59,,,,,,,16.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.861
26839078,AG,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Baseline,baseline,mean (95% CI),5.42 (5.08; 5.77),regex,mean_ci,5.42,1.1938284919276612,,,,,5.08,5.77,,,,,,,46.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,AG,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",End of treatment,post,mean (95% CI),3.51 (3.10;3.93),regex,mean_ci,3.51,1.4360545627535646,,,,,3.1,3.93,,,,,,,46.0,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.000
26839078,AG,verum_acupuncture,Headache intensity change (End-baseline),pain,"visual analogue scale (VAS), 0–10",End-baseline,baseline,mean (95% CI),AG: −1.91 (−2.46; −1.37); WT: 0.06 (−0.68; 0.81),unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Migraine without aura (MwoA),True,not_reported,P value = 0.000 (AG vs WT),not_reported,0.000
26839078,VA1,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),5.91 (3.88; 7.93),regex,mean_ci,5.91,3.4266148981988187,,,,,3.88,7.93,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA1,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),4.18 (2.60; 5.77),regex,mean_ci,4.18,2.682066475874137,,,,,2.6,5.77,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.029
26839078,VA2,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),7.45 (5.03; 9.88),regex,mean_ci,7.45,4.103477100312166,,,,,5.03,9.88,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA2,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),6.18 (4.13; 8.03),regex,mean_ci,6.18,3.2997032353025655,,,,,4.13,8.03,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.111
26839078,VA3,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),5.54 (3.35; 7.72),regex,mean_ci,5.54,4.019453845351436,,,,,3.35,7.72,,,,,,,13.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA3,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),4.08 (2.40; 5.76),regex,mean_ci,4.08,3.090472521826276,,,,,2.4,5.76,,,,,,,13.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.038
26839078,SA,sham_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),6.45 (4.34; 8.57),regex,mean_ci,6.45,3.5789088936743223,,,,,4.34,8.57,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,SA,sham_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),6.45 (3.97; 8.94),regex,mean_ci,6.45,4.205006430629167,,,,,3.97,8.94,,,,,,,11.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.999
26839078,WT,waitlist,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),4.31 (2.91; 5.71),regex,mean_ci,4.31,2.857142857142857,,,,,2.91,5.71,,,,,,,16.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,WT,waitlist,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),8.63 (6.14; 11.11),regex,mean_ci,8.63,5.071428571428571,,,,,6.14,11.11,,,,,,,16.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.000
26839078,AG,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Baseline,baseline,mean (95% CI),6.30 (5.31; 7.30),regex,mean_ci,6.3,3.443070578168185,,,,,5.31,7.3,,,,,,,46.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,AG,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End of treatment,post,mean (95% CI),5.17 (4.27; 6.08),regex,mean_ci,5.17,3.1316370585348823,,,,,4.27,6.08,,,,,,,46.0,False,,,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.009
26839078,AG,verum_acupuncture,Headache frequency change (End-baseline),symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,End-baseline,baseline,mean (95% CI),AG: −1.13 (−1.97; −0.29); WT: 4.31 (2.26; 6.37),unparseable,,,,,,,,,,,,,,,,,False,,,True,Migraine without aura (MwoA),True,not_reported,P value = 0.000 (AG vs WT),not_reported,0.000
26839078,VA1,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Baseline,baseline,mean (95% CI),45.05 (39.72; 50.37),regex,mean_ci,45.05,9.010728065633929,,,,,39.72,50.37,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA1,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),End of treatment,post,mean (95% CI),39.20 (31.93; 46.48),regex,mean_ci,39.2,12.310431300936497,,,,,31.93,46.48,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.101
26839078,VA2,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Baseline,baseline,mean (95% CI),45.27 (39.71; 50.83),regex,mean_ci,45.27,9.40838460937552,,,,,39.71,50.83,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA2,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),End of treatment,post,mean (95% CI),41.77 (36.43; 47.11),regex,mean_ci,41.77,9.03611039821318,,,,,36.43,47.11,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.180
26839078,VA3,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Baseline,baseline,mean (95% CI),46.75 (40.50; 53.00),regex,mean_ci,46.75,11.49729360798466,,,,,40.5,53.0,,,,,,,13.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,VA3,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),End of treatment,post,mean (95% CI),37.96 (31.68; 44.25),regex,mean_ci,37.96,11.561678452189373,,,,,31.68,44.25,,,,,,,13.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.015
26839078,SA,sham_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Baseline,baseline,mean (95% CI),45.68 (40.35; 51.01),regex,mean_ci,45.68,9.019188843160345,,,,,40.35,51.01,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,SA,sham_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),End of treatment,post,mean (95% CI),38.02 (32.97; 43.08),regex,mean_ci,38.02,8.553846079207421,,,,,32.97,43.08,,,,,,,11.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.081
26839078,WT,waitlist,SAS score,mood,self-rating anxiety scale (SAS),Baseline,baseline,mean (95% CI),46.81 (41.52; 52.11),regex,mean_ci,46.81,10.806122448979588,,,,,41.52,52.11,,,,,,,16.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,not_reported
26839078,WT,waitlist,SAS score,mood,self-rating anxiety scale (SAS),End of treatment,post,mean (95% CI),41.64 (37.76; 45.52),regex,mean_ci,41.64,7.918367346938781,,,,,37.76,45.52,,,,,,,16.0,False,20.0,80.0,True,Migraine without aura (MwoA),True,not_reported,not_reported,not_reported,0.040
